dataset,commit,commit_short,author,date,idf1,assa,detre,n_ids
ms02,399db5f81eee1cf5a22a24ddeb2548ff089c7dec,399db5f,Alexander Barnhill,2026-06-16T13:11:06-04:00,0.7224,0.7681,0.7268,119
ds1,399db5f81eee1cf5a22a24ddeb2548ff089c7dec,399db5f,Alexander Barnhill,2026-06-16T13:11:06-04:00,0.6004,0.475,0.518,1331
ms02,5defd0324f04fcd2d0f2eab56481847bbe686433,5defd03,Alexander Barnhill,2026-06-16T13:44:34-04:00,0.7224,0.7681,0.7268,119
ds1,5defd0324f04fcd2d0f2eab56481847bbe686433,5defd03,Alexander Barnhill,2026-06-16T13:44:34-04:00,0.5999,0.4751,0.5176,1331
ms02,fe3c56b7693db9d10884ba4c367f37ad1f81f11c,fe3c56b,Alexander Barnhill,2026-06-16T14:57:33-04:00,0.7224,0.7681,0.7268,119
ds1,fe3c56b7693db9d10884ba4c367f37ad1f81f11c,fe3c56b,Alexander Barnhill,2026-06-16T14:57:33-04:00,0.5999,0.4751,0.5176,1331
ms02,28397b446f0c5bbe7a177c0a39a407fd0b1498fd,28397b4,Alexander Barnhill,2026-06-17T14:38:26+00:00,0.7536,0.8127,0.6739,123
ds1,28397b446f0c5bbe7a177c0a39a407fd0b1498fd,28397b4,Alexander Barnhill,2026-06-17T14:38:26+00:00,0.6241,0.5006,0.5366,145
ms02,34103bd26e384bcdc61a4bb21a0af7d78f09fcd9,34103bd,Alexander Barnhill,2026-06-17T12:15:36-04:00,0.7536,0.8127,0.6739,123
ds1,34103bd26e384bcdc61a4bb21a0af7d78f09fcd9,34103bd,Alexander Barnhill,2026-06-17T12:15:36-04:00,0.6241,0.5006,0.5366,145
ms02,2f950f681c4b6a3760e9d076ca6f040674021971,2f950f6,Alexander Barnhill,2026-06-18T10:15:13-04:00,0.7536,0.8127,0.6739,123
ds1,2f950f681c4b6a3760e9d076ca6f040674021971,2f950f6,Alexander Barnhill,2026-06-18T10:15:13-04:00,0.6241,0.5006,0.5366,145
ms02,9f134b6584d3d11d8dcf3a7b7744450619aa110f,9f134b6,Alexander Barnhill,2026-06-18T11:56:44-04:00,0.7536,0.8127,0.6739,123
ds1,9f134b6584d3d11d8dcf3a7b7744450619aa110f,9f134b6,Alexander Barnhill,2026-06-18T11:56:44-04:00,0.6241,0.5006,0.5366,145
