name,manifest,rank,moved_tracklets,moved_seqs,idf1,hota,assa,delta_idf1_vs_seq6257_direct,delta_hota_vs_seq6257_direct,delta_assa_vs_seq6257_direct,assignment,json,elapsed_sec
siglip_r02_s43_to36_seq4844,/Users/zcai/Codex/vlincs_reid_by_search_wisc_sync/local_runs/reproduce_generated_positive_scheduler_seq6257_p005_20260624/method_reproduction/local_gated_siglip_primary/manifest.json,2,1,4844,0.666827,0.527837,0.537932,3e-06,2e-06,-1e-06,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/assignments/siglip_r02_s43_to36_seq4844_assignments.csv,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/direct/siglip_r02_s43_to36_seq4844.json,104.736
weak_r02_s16_to38_seq3355_3598,/Users/zcai/Codex/vlincs_reid_by_search_wisc_sync/local_runs/reproduce_generated_positive_scheduler_seq6257_p005_20260624/method_reproduction/local_gated_weak_primary/manifest.json,2,2,"3355,3598",0.666793,0.527796,0.537901,-3.1e-05,-3.9e-05,-3.2e-05,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/assignments/weak_r02_s16_to38_seq3355_3598_assignments.csv,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/direct/weak_r02_s16_to38_seq3355_3598.json,104.207
weak_r04_s18_to88_seq1874,/Users/zcai/Codex/vlincs_reid_by_search_wisc_sync/local_runs/reproduce_generated_positive_scheduler_seq6257_p005_20260624/method_reproduction/local_gated_weak_primary/manifest.json,4,1,1874,0.666824,0.527835,0.537933,0.0,0.0,0.0,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/assignments/weak_r04_s18_to88_seq1874_assignments.csv,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/direct/weak_r04_s18_to88_seq1874.json,105.96
siglip_r06_s18_to0_seq7200,/Users/zcai/Codex/vlincs_reid_by_search_wisc_sync/local_runs/reproduce_generated_positive_scheduler_seq6257_p005_20260624/method_reproduction/local_gated_siglip_primary/manifest.json,6,1,7200,0.666917,0.52795,0.538051,9.3e-05,0.000115,0.000118,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/assignments/siglip_r06_s18_to0_seq7200_assignments.csv,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/direct/siglip_r06_s18_to0_seq7200.json,106.806
siglip_r08_s83_to30_seq1011,/Users/zcai/Codex/vlincs_reid_by_search_wisc_sync/local_runs/reproduce_generated_positive_scheduler_seq6257_p005_20260624/method_reproduction/local_gated_siglip_primary/manifest.json,8,1,1011,0.666824,0.527835,0.537933,0.0,0.0,0.0,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/assignments/siglip_r08_s83_to30_seq1011_assignments.csv,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/direct/siglip_r08_s83_to30_seq1011.json,123.913
siglip_r09_s88_to14_seq1073,/Users/zcai/Codex/vlincs_reid_by_search_wisc_sync/local_runs/reproduce_generated_positive_scheduler_seq6257_p005_20260624/method_reproduction/local_gated_siglip_primary/manifest.json,9,1,1073,0.666847,0.527857,0.537949,2.3e-05,2.2e-05,1.6e-05,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/assignments/siglip_r09_s88_to14_seq1073_assignments.csv,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/direct/siglip_r09_s88_to14_seq1073.json,111.012
weak_r10_s8_to81_seq1236,/Users/zcai/Codex/vlincs_reid_by_search_wisc_sync/local_runs/reproduce_generated_positive_scheduler_seq6257_p005_20260624/method_reproduction/local_gated_weak_primary/manifest.json,10,1,1236,0.666824,0.527835,0.537933,0.0,0.0,0.0,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/assignments/weak_r10_s8_to81_seq1236_assignments.csv,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/direct/weak_r10_s8_to81_seq1236.json,114.042
weak_r12_s2_to43_seq582,/Users/zcai/Codex/vlincs_reid_by_search_wisc_sync/local_runs/reproduce_generated_positive_scheduler_seq6257_p005_20260624/method_reproduction/local_gated_weak_primary/manifest.json,12,1,582,0.666864,0.527921,0.538083,4e-05,8.6e-05,0.00015,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/assignments/weak_r12_s2_to43_seq582_assignments.csv,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/direct/weak_r12_s2_to43_seq582.json,110.662
siglip_r13_s7_to37_seq4266,/Users/zcai/Codex/vlincs_reid_by_search_wisc_sync/local_runs/reproduce_generated_positive_scheduler_seq6257_p005_20260624/method_reproduction/local_gated_siglip_primary/manifest.json,13,1,4266,0.666822,0.527832,0.53793,-2e-06,-3e-06,-3e-06,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/assignments/siglip_r13_s7_to37_seq4266_assignments.csv,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/direct/siglip_r13_s7_to37_seq4266.json,108.557
siglip_r18_s51_to29_seq2344_2390_2549,/Users/zcai/Codex/vlincs_reid_by_search_wisc_sync/local_runs/reproduce_generated_positive_scheduler_seq6257_p005_20260624/method_reproduction/local_gated_siglip_primary/manifest.json,18,3,"2344,2390,2549",0.666952,0.527982,0.538064,0.000128,0.000147,0.000131,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/assignments/siglip_r18_s51_to29_seq2344_2390_2549_assignments.csv,local_runs/continued_scheduler_after_seq6257_direct_probe_20260624/direct/siglip_r18_s51_to29_seq2344_2390_2549.json,106.182
